meta,,fleet,,,,,,,,employees,,,service,,,,,operating funding,,,,,,,,,operating expenses,,,,Error checking
,,total,Bus,,,Rail,,,Boat,total,operators,,km operated,,,passenger trips,,total,revenue,,,subsidy,,,,,total,"wages, etc.",derived variables,,operations
Year,Source,,Standard,Trolley,Wheel-Trans,Streetcar,Subway,SRT,Ferry,,full-time,part-time,total,bus,streetcar,unlinked,revenue passengers,,total,fares,other,total,municipal,muni fare subsidy,provincial,other,,,recovery ratio,average fare,net income
1988,5,2873,1648,139,123,290,645,28,0,9963,,,193800000,100100000,13900000,,463500000,531878000,381504000,357879000,23625000,150400000,75200000,,75200000,0,531900000,401454000,0.695,0.772122977346278,-0.00413611581124271%
1989,5,2906,1687,139,123,300,629,28,0,10176,,,189800000,98100000,13100000,,450700000,559598000,399811000,375447000,24364000,159800000,79900000,,79900000,0,561500000,426628000,0.692,0.833030840914134,-0.33873552983081%
1990,5,2926,1744,139,123,270,622,28,0,10351,,,194600000,101900000,13100000,,459200000,628315000,440411000,406390000,34021000,187900000,93950000,,93950000,0,628300000,479277000,0.674,0.884995644599303,0.00238739455674041%
1991,5,2836,1677,120,124,265,622,28,0,10218,,,187400000,98800000,12700000,,424200000,662659000,478782000,403628000,75154000.0000001,183900000,91950000,,91950000,0,662600000,510841000,0.653,0.951504007543611,0.00890431632961063%
1992,5,2689,1592,40,140,267,622,28,0,10051,,,183200000,102100000,12000000,,404300000,690982000,463438000,423173000,40265000,244600000,122300000,,122300000,0,691000000,543537000,0.662,1.04668068266139,-0.00260492040520984%
1993,5,2622,1564,0,141,267,622,28,0,9717,,,178500000,99000000,11500000,,393500000,681125000,447000000,425426000,21573999.9999999,234100000,117050000,,117050000,0,681125000,535248000,0.657,1.0811334180432,0%
1994,5,2621,1564,0,140,267,622,28,0,9621,,,179100000,100500000,11200000,,388300000,651894000,444794000,420519000,24275000,207100000,95400000,,111700000,0,671900000,519667000,0.694,1.08297450424929,-2.97752641762167%
1995,5,2580,1542,0,140,248,622,28,0,9459,,,178500000,100900000,11100000,,388200000,671854000,457254000,435027000,22227000,214600000,111000000,,103600000,0,671838000,515007000,0.693,1.12062596599691,0.00238152649894766%
1996,5,2581,1525,0,140,248,640,28,0,9129,,,172100000,93700000,10900000,,372400000,683990000,514787000,491433000,23354000.0000001,169203000,79203000,,90000000,0,690432000,520221000,0.757,1.31963748657358,-0.933039024842418%
1997,5,2504,1468,0,140,248,620,28,0,9133,,,173500000,93700000,10600000,,379900000,724218000,565318000,528703000,36615000.0000001,158900000,80738000,,78171000,0,703482000,522660000,0.804,1.39168991839958,2.94762339334908%
1998,5,2395,1434,0,140,248,636,28,0,9462,3804,,178300000,94500000,12100000,,388689000,754146000,570232000,541416000,28816000,183914000,183914000,,0,0,677587256,547119000,0.81,1.39,11.2987284400756%
1999,5,2419,1452,0,150,248,660,28,0,10049,3771,,177100000,94400000,11400000,,392593000,740324000,591436000,560642000,30794000,148888000,148888000,,0,0,750744000,559642000,0.84,1.42,-1.38795648050467%
2000,5,2416,1466,0,149,248,672,28,0,10095,3846,,184900000,95000000,11300000,,410558000,781684000,637360000,601992000,35368000,144324000,144324000,,0,0,721408718,587408000,0.85,1.46,8.35521951649051%
2001,5,2448,1462,0,142,248,692,28,0,10191,3955,,189300000,97700000,11700000,,419993000,825690397,678084000,639721000,38363000,147606397,147606397,,0,0,772959406,622631000,0.84,1.52,6.82196122987602%
2002,5,2436,1450,0,135,248,692,28,0,10356,4141,,192200000,100400000,11300000,,415539000,872448000,695723000,648810000,46913000,176725000,152162000,,0,24563000,822302449,664599000,0.81,1.55,6.0981882105522%
2003,5,2441,1473,0,144,248,692,28,0,10450,4138,,193200000,99800000,11800000,,405412000,908994027,709951000,661263000,48688000,199043027,182162100,,0,16880927,871589993,697137000,0.78,1.62,4.29147125373204%
2004,5,2434,1475,0,145,247,684,28,0,10553,4183,,195700000,100700000,12200000,,418099000,943378657,738874000,685425000,53449000,204504657,114191933,,90312724,0,901149495,735151000,0.79,1.63,4.68614389003236%
2005,5,2448,1495,0,145,247,678,28,0,10669,4180,,196600000,102900000,11700000,,431220000,996141000,761233000,714509000,46724000,234908000,143952826,,90955174,0,930838763,773191000,0.79,1.65,7.01541873799254%
2006,5,2496,1543,0,144,247,678,28,0,10905,4284,,199300000,105900000,11600000,,444544000,1053094214,790707000,740510000,50197000,262387214,170787214,,91600000,0,1013684058,824090000,0.75,1.66,3.88781452060677%
2007,5,2496,1543,0,145,247,678,28,0,11233,4440,,197600000,107600000,11800000,,459769000,1137030000,834635000,777935000,56699999.9999999,302395000,210795000,,91600000,0,1093167891,883919000,0.73,1.68,4.01238541317529%
2008,5,2695,1739,0,147,250,678,28,0,11679,4758,,204500000,114200000,12100000,,466700000,1219873000,900231000,840888000,59343000,319642000,147810000,,171832000,0,1172811748,948312000,0.74,1.79,4.01268593022313%
2009,5,2866,1733,0,188,249,678,28,0,12324,5163,,214800000,123700000,12300000,,471233000,1340714000,895333000,839327000,56006000,445381000,353781000,,91600000,0,1286957165,1021240000,0.667,1.77,4.17704928042419%
2010,5,2766,1811,0,227,249,678,28,0,12553,5097,,215700000,124000000,12700000,,477357000,1398859873,997515000,934889000,62625999.9999998,401344873,309744873,,91600000,0,1356325727,1100013000,0.713,1.95,3.13598313099019%
2011,5,2826,1799,0,217,249,750,28,0,12647,5121,,216100000,123600000,13100000,,500219000,1560118000,1036682000,976015000,60667000.0000001,523436000,345415000,,91600000,0,1419892261,1088200000,0.703,1.94,9.87580134433876%
2012,5,2974,1857,0,246,249,840,28,0,12739,5278,,219300000,125000000,12600000,,514007000,1576083000,1095512000,1060641960,34870039.9999999,480571000,293500000,,91600000,0,1421456469,1110197000,0.738,1.98,10.878034915046%
2013,5,2900,1848,0,221,249,772,28,0,12920,5441,,224900000,129600000,12500000,,525194000,1501740026,1126654000,1056423000,70231000.0000001,375086026,283486026,,91600000,0,1439786267,1144022000,0.751,2,4.3029830482471%
2014,5,2873,1735,0,221,252,724,28,0,13209,5613,,228400000,131300000,12800000,,534815000,1599799086,1164220000,1092495000,71725000,435579086,343979086,,91600000,0,1539882747,1183071000,0.728,2.03,3.89096761534143%
2015,5,2844,1861,0,205,247,796,28,0,13651,5785,,231100000,131600000,13900000,923600000,537595000,1700188395,1186601000,1115051000,71550000,513587395,421987395,,91600000,0,1637966363,1235573000,0.695,2.06,3.79873686087411%
2016,5,3242,1926,0,199,262,840,28,0,14095,5911,,238200000,138600000,13100000,916300000,538079000,1724373936,1204405000,1133572000,70833000,519968936,428368936,,91600000,0,1659757328,1259584000,0.699,2.09,3.89313587654785%
2017,5,3249,1920,0,212,241,838,28,0,14389,5932,,239800000,142000000,11500000,942600000,533216000,1831542000,1243202000,1171580000,71622000,588340000,496740000,,91600000,0,1647732590,1356000000,0.728,2.18,11.1552937118274%
2018,5,3394,2010,0,263,245,848,28,0,14812,,,250600000,143200000,11400000,976500000,521400000,1811729000,1234789000,1169797000,64992000,576940000,485340000,,91600000,0,1803100000,1397379000,0.68,2.2435692366705,0.47856469413786%
2019,5,3436,2096,0,266,198,848,28,0,15251,,,254000000,145100000,11900000,,525500000,1915200000,1253900000,1193739000,60161000,661300000,571267000,,91600000,0,1918200000,1459106000,0.654,2.27162511893435,-0.156396621832981%
